FL_DATE,AIRLINE,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,AIR_TIME,DISTANCE,DELAY_CATEGORY,ORIGIN_CITY_NAME,ORIGIN_STATE,DEST_CITY_NAME,DEST_STATE
2023-06-06,United Air Lines Inc.,UA,19977,318,DEN,EUG,1119,1118.0,-1.0,1259,1238.0,-21.0,0,,0,120.0,996,No Delay,Denver,CO,Eugene,OR
2023-04-17,Southwest Airlines Co.,WN,19393,2787,STL,DSM,2140,2328.0,108.0,2245,38.0,113.0,0,,0,46.0,259,NAS,St. Louis,MO,Des Moines,IA
2022-03-14,Allegiant Air,G4,20368,1375,PVU,PSP,1813,1820.0,7.0,1853,1847.0,-6.0,0,,0,73.0,514,No Delay,Provo,UT,Palm Springs,CA
2021-12-12,American Airlines Inc.,AA,19805,1806,CLT,ROC,1648,1646.0,-2.0,1832,1831.0,-1.0,0,,0,85.0,573,No Delay,Charlotte,NC,Rochester,NY
2022-09-25,Envoy Air,MQ,20398,3417,MAF,DFW,615,613.0,-2.0,733,726.0,-7.0,0,,0,51.0,309,No Delay,Midland/Odessa,TX,Dallas/Fort Worth,TX
2022-07-18,United Air Lines Inc.,UA,19977,1156,IAD,EWR,1711,2238.0,327.0,1830,103.0,393.0,0,,0,53.0,212,Weather,Washington,DC,Newark,NJ
2021-11-12,American Airlines Inc.,AA,19805,2236,BNA,LAX,1921,1911.0,-10.0,2205,2147.0,-18.0,0,,0,232.0,1797,No Delay,Nashville,TN,Los Angeles,CA
2022-07-06,Southwest Airlines Co.,WN,19393,1419,MDW,SRQ,1500,1607.0,67.0,1835,2049.0,134.0,0,,0,131.0,1035,Carrier,Chicago,IL,Sarasota/Bradenton,FL
2019-07-23,Southwest Airlines Co.,WN,19393,679,ABQ,BWI,625,635.0,10.0,1210,1212.0,2.0,0,,0,205.0,1670,No Delay,Albuquerque,NM,Baltimore,MD
2023-01-19,Envoy Air,MQ,20398,3542,SHV,DFW,1817,1821.0,4.0,1928,1935.0,7.0,0,,0,41.0,190,No Delay,Shreveport,LA,Dallas/Fort Worth,TX
2019-07-23,United Air Lines Inc.,UA,19977,2293,LAX,DEN,853,845.0,-8.0,1219,1201.0,-18.0,0,,0,110.0,862,No Delay,Los Angeles,CA,Denver,CO
2020-12-29,Republic Airline,YX,20452,5756,GSP,ATL,1155,1153.0,-2.0,1257,1241.0,-16.0,0,,0,34.0,153,No Delay,Greer,SC,Atlanta,GA
2019-01-08,American Airlines Inc.,AA,19805,1812,MSP,PHL,600,551.0,-9.0,950,912.0,-38.0,0,,0,117.0,980,No Delay,Minneapolis,MN,Philadelphia,PA
2023-08-07,Delta Air Lines Inc.,DL,19790,2606,LAX,SFO,1610,1608.0,-2.0,1728,1719.0,-9.0,0,,0,54.0,337,No Delay,Los Angeles,CA,San Francisco,CA
2022-12-03,United Air Lines Inc.,UA,19977,2202,ATL,ORD,1600,1558.0,-2.0,1710,1713.0,3.0,0,,0,98.0,606,No Delay,Atlanta,GA,Chicago,IL
2023-07-30,Envoy Air,MQ,20398,4039,ABI,DFW,1031,1028.0,-3.0,1131,1115.0,-16.0,0,,0,34.0,158,No Delay,Abilene,TX,Dallas/Fort Worth,TX
2023-03-19,Delta Air Lines Inc.,DL,19790,364,SEA,MSP,600,556.0,-4.0,1121,1108.0,-13.0,0,,0,168.0,1399,No Delay,Seattle,WA,Minneapolis,MN
2023-04-14,Southwest Airlines Co.,WN,19393,3079,AUS,BNA,1245,1250.0,5.0,1450,1444.0,-6.0,0,,0,97.0,756,No Delay,Austin,TX,Nashville,TN
2020-08-07,Envoy Air,MQ,20398,3843,DFW,SJT,1305,1300.0,-5.0,1410,1400.0,-10.0,0,,0,40.0,229,No Delay,Dallas/Fort Worth,TX,San Angelo,TX
2020-12-21,Envoy Air,MQ,20398,4228,XNA,DFW,1427,1549.0,82.0,1554,1701.0,67.0,0,,0,46.0,280,Late Aircraft,Fayetteville,AR,Dallas/Fort Worth,TX
2021-07-25,Southwest Airlines Co.,WN,19393,1460,MCO,BDL,905,900.0,-5.0,1145,1147.0,2.0,0,,0,145.0,1050,No Delay,Orlando,FL,Hartford,CT
2023-01-04,Southwest Airlines Co.,WN,19393,2632,SDF,MCO,1300,,,1505,,,1,C,0,,719,No Delay,Louisville,KY,Orlando,FL
2020-06-26,Southwest Airlines Co.,WN,19393,6977,ATL,LAX,1605,1603.0,-2.0,1755,1734.0,-21.0,0,,0,255.0,1947,No Delay,Atlanta,GA,Los Angeles,CA
2023-06-25,Delta Air Lines Inc.,DL,19790,2057,DTW,MYR,825,822.0,-3.0,1015,1003.0,-12.0,0,,0,83.0,636,No Delay,Detroit,MI,Myrtle Beach,SC
2023-08-13,Southwest Airlines Co.,WN,19393,3209,LAS,LBB,1140,1202.0,22.0,1540,1621.0,41.0,0,,0,102.0,775,Carrier,Las Vegas,NV,Lubbock,TX
2019-06-07,PSA Airlines Inc.,OH,20397,5607,DCA,BUF,1140,1139.0,-1.0,1252,1246.0,-6.0,0,,0,48.0,296,No Delay,Washington,DC,Buffalo,NY
2019-01-04,Envoy Air,MQ,20398,3475,STL,ORD,1206,1202.0,-4.0,1334,1310.0,-24.0,0,,0,52.0,258,No Delay,St. Louis,MO,Chicago,IL
2019-11-21,Southwest Airlines Co.,WN,19393,819,BNA,MCI,1425,1425.0,0.0,1610,1601.0,-9.0,0,,0,83.0,491,No Delay,Nashville,TN,Kansas City,MO
2021-08-09,American Airlines Inc.,AA,19805,2038,CLT,JFK,1759,1807.0,8.0,1959,2027.0,28.0,0,,0,114.0,541,Carrier,Charlotte,NC,New York,NY
2019-04-04,American Airlines Inc.,AA,19805,1544,SMF,DFW,617,618.0,1.0,1135,1134.0,-1.0,0,,0,163.0,1431,No Delay,Sacramento,CA,Dallas/Fort Worth,TX
